[2025-07-19 16:52:38] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-07-19 16:52:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-19 16:53:20] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-07-19 16:53:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-19 16:54:01] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-07-19 16:54:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-19 16:54:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 9, 'op': 0, 'd': {'user_id': '1369774389809119365', 'timestamp': 1752929679, 'member': {'user': {'username': 'tiredbrainlet', 'public_flags': 0, 'primary_guild': None, 'id': '1369774389809119365', 'global_name': 'Phrog', 'display_name': 'Phrog', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd6db0906cada57a617c9f633c9cbd8f9'}, 'roles': ['1395793067667361812'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-09T05:15:41.043000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1369677658727645254', 'guild_id': '1369675404239179796'}}
[2025-07-19 16:54:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-19 16:54:39] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-19 16:54:39] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-19 16:54:42] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2025-07-19 16:54:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
